* File "anna.dat" from the Stanford GraphBase (C) 1993 Stanford University
* Anna Karenina, by Leo Nikolaevitch Tolstoy
1.7:KO,LE
1.8:KO,LE
1.9:LE,NS,KI;LE,PS,ST,KI;LE,ML,KI
1.10:LE,ST
1.11:LE,ST
1.12:PR,PS;PS,KI,VR
1.13:LE,KI
1.14:LE,KI,PS,CN,VR,PR
1.15:KI,PS,PR
1.16:VR
1.17:VR,ST
1.18:VR,ST,AN,CV
1.19:AN,DO,GR,TA
1.20:AN,DO,ST,KI;DO,KI,GR,TA
1.21:AN,DO,ST,KI;AN,VR
1.22:KI,PS,YK;CB,YK;LI,KV,ST,AN,VR;KI,YK,AN,VR
1.23:KI,VR,PS,CN;KI,VR,AN;CN,YK;YK,KI;YK,AN
1.24:LE,NI,MN,KR
1.25:LE,NI,MN,KR
1.26:LE,IG;LE,AG,KZ;LE,VF,SY
1.27:LE,AG
1.28:AN,DO,ST
1.29:AN,ST;AN,AA
1.30:VR,AN;AN,AL
1.31:VR,AN,AL
1.32:SE,AN;LI,AN
1.33:AL,AN;AN,SE
1.34:PT,SH,KA,VR
2.1:KI,PS;PS,PR
2.2:DO,PS,PR,KI
2.3:DO,KI
2.4:BT,AN,VR
2.5:VR,BT;PT,KE,VE,VR
2.6:BT,MY,VR
2.7:BT,MY,VR,AN,AL;AN,LI
2.8:AL
2.9:AN,AL
2.10:AN,AL,BT,VR
2.11:VR,AN
2.12:LE,NI;LE,AG
2.13:LE,VF;LE,IG
2.14:ST,LE,AG,KZ
2.15:ST,LE
2.16:ST,LE,RY
2.17:ST,LE,AG
2.18:VR
2.19:VR,YV
2.20:VR,PT,YV
2.21:VR,CO
2.22:VR,AN
2.23:VR,AN
2.24:VR,CO,MH;VR,XV;VR,ST;VR,KU
2.25:VR,KU,MH;VR,YV
2.26:AL,LI;AL,SL
2.27:AN,AA;AN,AL,SL;AN,AL,SE
2.28:AN,BT,AL;BT,ST
2.29:AN,BT,AL
2.30:PR,PS,KI,RT;KI,MS,VK;KI,NI,MN
2.31:PS,KI,NI;NI,VK,MN;PS,KI,VK
2.32:MS,VK;VK,PS,KI,RT
2.33:KI,MS,VK;PS,KI;KI,PV,AP
2.34:PR,PS,KI;PR,KI,BE;PR,KI,VK,MS;PR,KI,PV,AP
2.35:PR,KI,RT,VK,PS
3.1:KO,LE
3.2:KO,LE,AG
3.3:KO,LE;LE,VF
3.4:KO,LE;LE,VF;LE,TT
3.5:LE,MK,PY
3.6:LE,KO,KZ
3.7:ST,DO;DO,PH
3.8:DO,PH,TA,HO;DO,AO,LL,TA;DO,HO,GR,TA,NL
3.9:DO,LE,PH,LL
3.10:DO,LE,TA;DO,TA,GR
3.11:LE,PA
3.12:LE,DO
3.13:AL,AN
3.14:AL
3.15:AN,VR;AN,AA;AN,SE,ME
3.16:AN,AA
3.17:AN,BT,TU,MX
3.18:AN,BT,SS,VS,PK,SM,LM;LM,AN,SM,TU
3.19:VR,PT
3.20:VR
3.21:VR,PT,CD,SP,YV
3.22:VR,AN
3.23:AL,SM;AL,AN
3.24:VF,LE
3.25:LE
3.26:LE,SV,MZ,NT
3.27:LE,SV,MP,SN
3.28:LE,SV
3.29:LE,VF;LE,IV;LE,FR;LE,SU
3.30:LE,VF;LE,AG
3.31:LE,NI,AG
3.32:LE,NI;LE,NS
4.1:AL,AN;AN,VR
4.2:AL,VR;VR,AN
4.3:VR,AN;AN,LM
4.4:AL,AN
4.5:AL
4.6:AL,SM;BT,MY;AL,ST,DO
4.7:ST,MT;ST,LE;ST,CA
4.8:AL,ST
4.9:ST,KO,PE,PR,YS,TV,KI,AL,DO,LE,MA
4.10:PE,KO,AL,ST,TV,PR,DO
4.11:LE,KI,DO,TV
4.12:PE,ST,AL,KO,TV;AL,DO,YS
4.13:LE,PE,KO;LE,KI,YS;LE,KI,PR
4.14:LE,ST;LE,DO;KE,KO,SV;LE,YG
4.15:ML,LE;LE,KI,PR,PS
4.16:PS,PR,KI,LE;KI,LE,ML;LE,KO;LE,SV;KI,CN
4.17:AL,KP;AL,VR,AN;AN,BA
4.18:VR,KP;VR,VA
4.19:AL,BA;AL,SE,ED;AL,AN,BT
4.20:AL,AN
4.21:BT,ST;ST,AN
4.22:ST,AL
4.23:VR,VA;VR,BT;VR,AN
5.1:PS,LE;LE,KO;LE,ST;LE,KI
5.2:LE,KO,KT,TC;LE,KI,PS;KE,KO,SO,ST;LE,KZ
5.3:KI,NA;LE,ST,KZ
5.4:ST,DO,TC,LE,KI;LE,KI,CN;LE,KI,CA;KI,MD
5.5:DO,NA;LK,YK;LK,TB;PR,NV;KO,DO;ST,NA;NA,CN;CN,DO
5.6:LE,KI,PR,TC
5.7:VR,AN,GO
5.8:VR,AN
5.9:VR,AN,GO
5.10:MI,SA;MI,VR,GO,AN
5.11:MI,VR,GO,AN
5.12:MI,VR,GO,AN
5.13:MI,VR,AN,GO
5.14:LE,KI,AG,MQ
5.15:KE,KI,KZ
5.16:LE,KI,AG
5.17:NI,LE,KI;LE,MN,KI
5.18:NI,LE,KI,MN
5.19:LE,KI
5.20:NI,LE,KI,MN
5.21:AL,BT,ST;AL,ED;AL,KY;AL,SL
5.22:LI,AL,SE;AL,KY
5.23:LI
5.24:AL,LI
5.25:AL,LI
5.26:SE,KP;SE,SI;SE,ND
5.27:SE,SI;SE,AL
5.28:VR,CV,VA;VR,XV,AN;VR,BT,AN
5.29:AN,KP;AN,SE
5.30:KY,KP;KY,EF;EF,AN,SE,SI,AL
5.31:AN,BA;AN,VR,YV
5.32:AN,PO,VR,TU;AN,YV,VR,TU
5.33:VR,YV;VR,SP;AN,VV,YV;VA,VR,CV,SO;XV,VR;AN,VR,SM
6.1:DO,VK,KO,KI;KO,LE,KI,TV,VK;KI,PS
6.2:AG,PS,KI,DO,LE
6.3:KI,LE,PS
6.4:VK,KO
6.5:VK,GR,MM,KO,KI,LE
6.6:VK,KO,KI,LE,PS,DO,AG;LE,GR,ST,VV;ST,TA;ST,DO;PS,VV;VV,VK;KO,ST
6.7:KI,AG;LE,VV,ST,DO,KI;LE,PS,VK
6.8:VV,ST,LE;LE,KI
6.9:VV,ST,LE
6.10:VV,ST,LE
6.11:VV,ST,LE
6.12:LE
6.13:KI,MV;LE,ST,VV
6.14:LE,VV,ST,KI,PS,MV,DO;HO,TA
6.15:GR,MM;MM,DO,LE;LE,VV;LE,ST;DO,VK
6.16:DO,LE
6.17:VR,VV,AN,VP,SV,DO
6.18:DO,AN,VV,VR
6.19:DO,AA,AN;DO,AN,BA
6.20:DO,AN,VP,VV,VR,SV,TU
6.21:VR,DO
6.22:AN,DO,VP,VR,SV,VV,TU
6.23:AN,DO
6.24:DO,AN;AN,AL
6.25:AN,VR
6.26:LE,KO;LE,KI
6.27:LE,KO,SV,ST
6.28:LE,KO;KE,SQ
6.29:KO,ST,SV,VR;SV,LE,SN
6.30:SV,LE,VR,ST,KO,NY
6.31:NY,VR,SV,ST;AN,BA,VP
6.32:AN,BA;AN,VP,VR
7.1:LE,KI;KI,PR,MB,VR
7.2:KE,KI;LE,KZ
7.3:LE,KT,MO
7.4:LE,LV,NA
7.5:LE,NA;PE,LE;LE,BL
7.6:LE,BO;LE,SV;LE,ST;LE,NA;LE,KI
7.7:LE,PR;YV,VR,LE,ST,TV,GA,VI
7.8:LE,ST,VR,GA;LE,PR;VR,YV
7.9:LE,ST;AN,VO;LE,AN
7.10:LE,AN,VO,ST,HA
7.11:LE,ST;LE,KZ;LE,KI
7.12:AN,VR
7.13:LE,KI;LE,KZ;LE,LP
7.14:LE,LP,PS,KI,PD,DO
7.15:LE,PD,DO,LP,KI,PS,BD
7.16:PR,KO,ST,LE;LE,KI,PS,BD
7.17:ST,AL;ST,VG
7.18:ST,AL
7.19:ST,AL,SE;ST,AL,KY
7.20:ST,PC;ST,BN;ST,PP;ST,BT,MY
7.21:ST,BN;ST,LI,AL,JL
7.22:ST,PP;ST,LI,AL,JL
7.23:AN,VR,HA
7.24:AN,VR
7.25:AN,VR,AA;AN,VR,YV,VY
7.26:AN,VR;VR,SO
7.27:AN,BA;AN,AA;AN,MC;AN,PX
7.28:AN,DO,KI
7.29:AN,PX,AA
7.30:AN,PX,FC
7.31:AN,PX;AN,MC
8.1:KO
8.2:KO,KT,ST;ST,VR,CV
8.3:KO,KT
8.4:KO,CV
8.5:KO,VR
8.6:KO,KV,KI;KI,DO,PR;KI,AG,BD
8.7:AG,KI,BD;PR,KT
8.8:LE
8.9:LE,KO
8.10:LE
8.11:LE,FY
8.12:LE
8.13:LE,DO
8.14:LE,IW;GR,TA,KV,KO,DO,PR
8.15:DO,LE,KT,KO,PR,MJ,GR
8.16:LE,KT,KO,PR
8.17:DO,LE,KV,GR,TA;KO,PR;LE,AG;LE,KI,BD
8.18:LE,KT,KO,KI;LE,KI,BD
8.19:LE,KI
* End of file "anna.dat"
